Voltage,Current,Frequency,Temperature,Fault,Shutdown
256,18.0,50.17,48,Overload,Yes
12,0.0,0.0,21,Line Break,Yes
248,12.85,49.9,45,Overload,Yes
223,4.75,49.82,29,Normal,No
242,12.86,49.84,40,Overload,Yes
293,6.6,50.53,30,Overvoltage,Yes
225,4.41,49.97,25,Normal,No
269,5.21,50.92,44,Overvoltage,Yes
289,5.41,50.55,45,Overvoltage,Yes
172,3.1,49.17,26,Undervoltage,Yes
229,5.64,49.8,25,Normal,No
232,4.51,49.93,28,Normal,No
130,5.08,49.87,32,Undervoltage,Yes
238,7.23,49.92,32,Normal,No
270,9.73,50.7,44,Overvoltage,Yes
242,11.89,50.18,45,Overload,Yes
246,11.13,50.0,41,Overload,Yes
239,5.7,50.03,26,Normal,No
239,6.45,50.04,33,Normal,No
161,4.33,49.11,33,Undervoltage,Yes
18,0.0,0.0,24,Line Break,Yes
250,19.01,50.12,53,Overload,Yes
251,10.22,49.95,52,Overload,Yes
256,12.99,50.16,41,Overload,Yes
223,4.47,49.87,27,Normal,No
287,9.66,50.12,31,Overvoltage,Yes
233,7.05,49.9,30,Normal,No
258,10.48,49.95,53,Overload,Yes
241,16.5,50.09,50,Overload,Yes
0,0.0,0.0,29,Line Break,Yes
224,3.47,49.82,28,Normal,No
258,18.24,50.08,55,Overload,Yes
121,3.4,49.03,34,Undervoltage,Yes
295,9.42,50.02,44,Overvoltage,Yes
178,3.62,49.73,30,Undervoltage,Yes
247,10.74,49.9,45,Overload,Yes
1,0.0,0.0,27,Line Break,Yes
243,13.9,50.07,45,Overload,Yes
237,7.3,50.13,33,Normal,No
241,12.56,49.93,43,Overload,Yes
257,17.52,49.94,50,Overload,Yes
220,3.59,50.04,32,Normal,No
248,16.89,49.89,40,Overload,Yes
17,0.0,0.0,28,Line Break,Yes
237,4.28,50.02,31,Normal,No
146,2.83,49.29,28,Undervoltage,Yes
257,10.59,49.91,53,Overload,Yes
246,14.59,49.8,43,Overload,Yes
16,0.0,0.0,26,Line Break,Yes
284,7.9,50.58,41,Overvoltage,Yes
225,4.68,50.15,33,Normal,No
227,7.12,50.01,25,Normal,No
263,9.9,50.91,37,Overvoltage,Yes
167,4.55,49.52,27,Undervoltage,Yes
220,4.05,50.01,25,Normal,No
114,3.07,49.39,30,Undervoltage,Yes
258,11.37,50.11,44,Overload,Yes
2,0.0,0.0,30,Line Break,Yes
251,17.48,50.03,53,Overload,Yes
256,18.64,49.89,43,Overload,Yes
19,0.0,0.0,27,Line Break,Yes
239,7.52,49.95,32,Normal,No
7,0.0,0.0,27,Line Break,Yes
227,3.15,50.16,30,Normal,No
236,4.83,50.14,28,Normal,No
295,9.04,50.54,33,Overvoltage,Yes
11,0.0,0.0,30,Line Break,Yes
133,5.44,49.24,26,Undervoltage,Yes
6,0.0,0.0,28,Line Break,Yes
298,8.48,50.1,43,Overvoltage,Yes
6,0.0,0.0,22,Line Break,Yes
